Energy[keV], HPGe
10, 0.0000037947149397258674
11, 0.00004909611935993394
12, 0.00032772931723113255
13, 0.0013750005607126357
14, 0.004132679848451894
15, 0.009728163780587993
16, 0.019086797710041938
17, 0.03262871509573558
18, 0.05018861228352893
19, 0.07112922866372205
20, 0.09454260752145993
21, 0.11944594859097356
22, 0.14492431397968106
23, 0.17021107098774407
24, 0.19471742601154463
25, 0.21802833424635898
26, 0.23988028536783962
27, 0.2601320732033876
28, 0.27873533250249316
29, 0.29570834237907406
30, 0.31111445381212555
31, 0.3250452663131571
32, 0.33760806686857925
33, 0.34891681073706093
34, 0.3590858981659226
35, 0.36822607553906345
36, 0.37644190109033027
37, 0.3838303308085066
38, 0.39048008398024214
39, 0.39647153437314836
40, 0.4018769418879503
41, 0.40676089246954816
42, 0.41118085383065195
43, 0.4151877838148647
44, 0.4188267494148327
45, 0.42213752955922584
46, 0.4251551853722987
47, 0.42791058891076167
48, 0.43043090631482217
49, 0.4327400345563679
50, 0.4348589930279697
51, 0.43680627245458015
52, 0.4385981442859521
53, 0.4402489340273094
54, 0.4417712620191598
55, 0.4431762550754244
56, 0.44447373219506175
57, 0.44567236731861054
58, 0.4467798318360111
59, 0.44780291928414745
60, 0.4487476544132118
61, 0.4496193885571598
62, 0.45042288301869426
63, 0.45116238197488856
64, 0.4518416762258574
65, 0.452464158945059
66, 0.45303287444455104
67, 0.453550560840444
68, 0.45401968739119863
69, 0.4544424871827328
70, 0.4548209857480474
71, 0.4551570261337399
72, 0.45545229086012695
73, 0.45570832116448096
74, 0.4559265338670884
75, 0.4561082361564985
76, 0.4562546385526169
77, 0.45636686627348666
78, 0.4564459692030404
79, 0.456492930632257
80, 0.4565086749244981
81, 0.4564940742369648
82, 0.45644995441376235
83, 0.45637710015174626
84, 0.45627625952781037
85, 0.45614814796537695
86, 0.4559934517082929
87, 0.45581283086202423
88, 0.45560692205473563
89, 0.45537634076446687
90, 0.4551216833530267
91, 0.4548435288423285
92, 0.4545424404645956
93, 0.45421896701409076
94, 0.45387364402471947
95, 0.453506994794943
96, 0.45311953127888077
97, 0.45271175486023485
98, 0.45228415702368374
99, 0.4518372199366517
100, 0.45137141695282584
101, 0.45088721304743273
102, 0.4503850651930959
103, 0.44986542268404106
104, 0.4493287274154872
105, 0.44877541412423444
106, 0.4482059105957457
107, 0.4476206378423663
108, 0.44702001025676696
109, 0.4464044357441989
110, 0.4457743158366958
111, 0.4451300457919799
112, 0.4444720146794796
113, 0.44380060545555433
114, 0.4431161950297675
115, 0.4424191543237964
116, 0.4417098483243656
117, 0.4409886361314038
118, 0.4402558710024574
119, 0.43951190039425414
120, 0.43875706600218073
121, 0.4379917037983241
122, 0.4372161440686332
123, 0.4364307114496655
124, 0.435635724965311
125, 0.4348314980638171
126, 0.4340183386553816
127, 0.43319654915052586
128, 0.4323664264994239
129, 0.43152826223231444
130, 0.43068234250109716
131, 0.429828948122182
132, 0.4289683546206366
133, 0.42810083227565343
134, 0.427226646167344
135, 0.42634605622484567
136, 0.4254593172757207
137, 0.42456667909661155
138, 0.42366838646510596
139, 0.4227646792127641
140, 0.42185579227924863
141, 0.42094195576749405
142, 0.4200233949998524
143, 0.4191003305751447
144, 0.41817297842654666
145, 0.417241549880244
146, 0.4163062517147739
147, 0.41536728622099284
148, 0.4144248512625919
149, 0.4134791403370902
150, 0.4125303426372422
151, 0.4115786431127832
152, 0.4106242225324554
153, 0.40966725754624395
154, 0.4087079207477662
155, 0.407746380736751
156, 0.4067828021815523
157, 0.40581734588164187
158, 0.40485016883002745
159, 0.40388142427554946
160, 0.40291126178500264
161, 0.4019398273050423
162, 0.4009672632238312
163, 0.3999937084323829
164, 0.39901929838556904
165, 0.3980441651627483
166, 0.3970684375279877
167, 0.3960922409898438
168, 0.39511569786067097
169, 0.3941389273154331
170, 0.39316204544999156
171, 0.3921851653388463
172, 0.3912083970923055
173, 0.39023184791306814
174, 0.3892556221521992
175, 0.3882798213644777
